Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 ()
20.09.2016 14:55,75.31,42,37.38,34.12,0,7889,50,0,3000,663.1,0,0.156,0.174,0,0,239.87,240.24,240.81,3.65,3.644,3.653,307,0,Ok,NonePrio,None,None,7.08,0,0,2.06,385,34.9,0,12.38,14,11.88,10.34,0,0,50.01,0,3000,662.98,0,0.133,0.179,0,0,239.87,240.25,240.87,0,0,0,87,0,Ok,NonePrio,None,None,48.69,11,11.67,11.06,0,5383,50,0,3000,660.68,0,0.162,0.165,0,0,239.79,240.19,240.76,7.477,7.464,7.486,105,0,Ok,NonePrio,None,None,14.24,17,13.83,12.72,0,2506,50.01,0,3000,665.66,0,0.175,0.174,0,0,239.96,240.3,240.8,3.474,3.469,3.475,115,0,Ok,NonePrio,None,None
20.09.2016 15:00,75.31,42,37.63,34.37,0,28,50.01,0,3000,666.74,0,0.173,0.179,0,0,240,240.26,240.9,0.052,0.06,0.073,342,0,Ok,NonePrio,None,None,7.54,0,0,2.06,443,34.1,0,12.38,14,11.97,10.42,0,11,50.01,0,3000,666.33,0,0.18,0.176,0,0,240.1,240.36,241.06,0.049,0.056,0.068,118,0,Ok,NonePrio,None,None,48.69,11,11.75,11.14,0,11,50.01,0,3000,664.23,0,0.164,0.16,0,0,239.86,240.12,240.78,0.048,0.059,0.072,108,0,Ok,NonePrio,None,None,14.24,17,13.92,12.81,0,6,50.01,0,3000,669.67,0,0.176,0.173,0,0,240.06,240.31,240.87,0.06,0.066,0.081,116,0,Ok,NonePrio,None,None
20.09.2016 15:05,75.31,42,37.88,34.62,0,28,50.01,0,3000,668.35,0,0.177,0,0,0,240,240.26,240.9,0.052,0.06,0.073,348,0,Ok,NonePrio,None,None,9.49,0,0,2.06,686,34.1,0,12.38,14,12.05,10.5,0,11,50.01,0,3000,668.85,0,0.181,0,0,0,240.1,240.36,241.06,0.049,0.056,0.068,120,0,Ok,NonePrio,None,None,48.69,11,11.83,11.22,0,11,50.01,0,3000,664.94,0,0.174,0.171,0,0,239.86,240.12,240.78,0.048,0.059,0.072,110,0,Ok,NonePrio,None,None,14.24,17,14,12.89,0,6,50.01,0,3000,671.27,0,0.178,0.18,0,0,240.06,240.31,240.87,0.06,0.066,0.081,118,0,Ok,NonePrio,None,None
20.09.2016 15:10,75.31,43,38.13,34.78,0,17,50,0,3000,673.52,0,0.118,0.191,0,0,239.89,240.25,240.89,0.035,0.039,0.047,233,0,Ok,NonePrio,None,None,8.89,0,0,2.06,611,35.9,0,12.38,15,12.13,10.51,0,0,50,0,3000,675.69,0,0.001,0.186,0,0,239.97,240.32,241.02,0,0,0,1,0,Ok,NonePrio,None,None,48.7,11,11.92,11.31,0,11,50,0,3000,669.17,0,0.173,0.165,0,0,239.75,240.12,240.79,0.047,0.055,0.065,111,0,Ok,NonePrio,None,None,14.24,17,14.08,12.97,0,6,50,0,3000,675.7,0,0.182,0.182,0,0,239.96,240.31,240.87,0.058,0.064,0.077,121,0,Ok,NonePrio,None,None
20.09.2016 15:15,75.32,43,38.38,35.03,0,17,50,0,3000,664.41,0,0.171,0.177,0,0,239.89,240.25,240.89,0.035,0.039,0.047,336,0,Ok,NonePrio,None,None,8.9,0,0,2.06,612,36.7,0,12.38,15,12.22,10.59,0,0,50,0,3000,664.51,0,0.179,0.177,0,0,239.97,240.32,241.02,0,0,0,117,0,Ok,NonePrio,None,None,48.7,11,12,11.39,0,11,50,0,3000,661.63,0,0.159,0.156,0,0,239.75,240.12,240.79,0.047,0.055,0.065,104,0,Ok,NonePrio,None,None,14.24,17,14.17,13.05,0,6,50,0,3000,667.11,0,0.175,0.173,0,0,239.96,240.31,240.87,0.058,0.064,0.077,115,0,Ok,NonePrio,None,None
20.09.2016 15:20,75.32,43,38.63,35.24,0,24,49.95,0,3000,666.58,0,0.145,0,0,0,240.07,240.39,241.13,0.05,0.057,0.069,286,0,Ok,NonePrio,None,None,9.13,0,0,2.06,642,35.4,0,12.38,15,12.3,10.63,0,6,49.95,0,3000,667.46,0,0.099,0,0,0,240.16,240.49,241.29,0.028,0.034,0.04,65,0,Ok,NonePrio,None,None,48.7,11,12.08,11.47,0,12,49.95,0,3000,663.83,0,0.16,0.162,0,0,239.92,240.26,241.02,0.055,0.065,0.079,105,0,Ok,NonePrio,None,None,14.24,17,14.25,13.14,0,6,49.95,0,3000,668.47,0,0.176,0.177,0,0,240.13,240.44,241.1,0.068,0.073,0.088,116,0,Ok,NonePrio,None,None
20.09.2016 15:25,75.32,43,38.88,35.41,0,24,49.95,0,3000,666.15,0,0.111,0,0,0,240.07,240.39,241.13,0.05,0.057,0.069,219,0,Ok,NonePrio,GriFlt,None,9.33,0,0,2.06,666,36.1,0,12.38,15,12.38,10.63,0,6,49.95,0,3000,668.89,0,0,0,0,0,240.16,240.49,241.29,0.028,0.034,0.04,0,0,Wrn,NonePrio,GriFlt,None,48.7,11,12.17,11.56,0,12,49.95,0,3000,662.47,0,0.158,0.157,0,0,239.92,240.26,241.02,0.055,0.065,0.079,103,0,Ok,NonePrio,None,None,14.24,17,14.33,13.22,0,6,49.95,0,3000,667.11,0,0.175,0.176,0,0,240.13,240.44,241.1,0.068,0.073,0.088,116,0,Ok,NonePrio,None,None
20.09.2016 15:30,75.32,43,39.13,35.58,0,18,49.99,0,3000,663.86,0,0.11,0,0,0,240.08,240.41,241.22,0.043,0.048,0.058,216,0,Alm,PrioC,GriFlt,None,8.8,0,0,2.06,600,36.2,0,12.38,15,12.46,10.63,0,0,49.99,0,3000,665.91,0,0,0,0,0,240.17,240.5,241.37,0,0,0,0,0,Alm,PrioC,GriFlt,None,48.7,11,12.25,11.64,0,12,49.99,0,3000,660.08,0,0.157,0.153,0,0,239.93,240.27,241.11,0.06,0.069,0.084,102,0,Ok,NonePrio,None,None,14.24,17,14.42,13.3,0,6,49.99,0,3000,665.61,0,0.174,0.166,0,0,240.14,240.46,241.2,0.069,0.075,0.092,114,0,Ok,NonePrio,None,None
20.09.2016 15:35,75.32,43,39.18,35.6,0,0,50.01,0,3000,654.47,0,0,0,0,0,240.63,240.96,241.8,0,0,0,0,0,Alm,PrioC,GriFlt,None,8.06,0,0,2.06,508,33.9,0,12.38,15,12.41,10.63,0,0,50.01,0,3000,657.68,0,0,0,0,0,240.46,240.79,241.66,0,0,0,0,0,Alm,PrioC,GriFlt,None,48.7,11,12.33,11.65,0,0,50.02,0,3000,651.26,0,0,0,0,0,240.8,241.14,241.94,0,0,0,0,0,Wrn,NonePrio,GriFlt,None,14.24,17,14.44,13.32,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None
20.09.2016 15:40,75.76,45,39.31,35.68,0,6298,50,5,3000,620.1,0,4.063,0,0,0,238.88,239.2,240.03,2.932,2.926,2.937,6470,0,Alm,PrioC,GriFlt,None,7.52,0,0,2.06,440,34.2,0,12.38,15,12.4,10.63,0,0,50,0,3000,655.39,0,0,13.034,0,0,238.93,239.24,240.12,0,0,0,0,0,Alm,PrioC,GriFlt,None,48.91,12,12.41,11.69,0,2338,50,8,3000,613.12,0,4.548,14.638,0,0,238.94,239.27,240.1,3.267,3.263,3.268,2401,0,Ok,NonePrio,None,None,14.46,18,14.5,13.36,0,3960,50,9,3000,591.8,0,7.643,14.753,0,0,238.77,239.09,239.89,5.531,5.515,5.545,4069,0,Ok,NonePrio,None,None
20.09.2016 15:45,62,28,24.95,22.42,0,2338,50,0,3000,632.48,0,2.274,0,0,0,238.93,239.25,240.11,1.633,1.631,1.634,2401,0,Ok,NonePrio,None,None,6.71,0,0,2.06,339,35.6,0,12.72,16,12.47,10.68,0,0,50,0,3000,651.85,0,0,0,0,0,238.93,239.24,240.12,0,0,0,0,0,Ok,NonePrio,None,None,49.28,12,12.49,11.74,0,2338,50,0,3000,613.12,0,4.548,0,0,0,238.94,239.27,240.1,3.267,3.263,3.268,2401,0,Ok,NonePrio,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2016 15:50,77.53,29,39.78,35.97,0,4664,50.01,1,3000,599.31,0,6.049,2.806,0,0,239.73,240.09,240.94,3.256,3.248,3.254,9656,0,Ok,NonePrio,None,None,6.42,0,0,2.06,303,34.7,0,12.84,16,12.55,10.71,0,0,50.02,1,3000,651.65,0,0,0.168,0,0,240.3,240.68,241.54,0,0,0,0,0,Ok,NonePrio,None,None,49.56,13,12.57,11.79,0,4664,50.01,1,3000,572.63,0,8.963,0.177,0,0,239.17,239.51,240.34,6.513,6.496,6.509,4773,0,Ok,NonePrio,None,None,15.12,,14.65,13.46,0,,,1,3000,573.65,0,9.184,0.176,0,0,,,,,,,4883,0,Ok,NonePrio,None,None
20.09.2016 15:55,77.58,49,40.03,36.22,0,8872,50.01,0,3000,587.57,0,5.667,0.165,0,0,238.36,238.61,239.51,4.135,4.124,4.136,9114,0,Ok,NonePrio,None,None,6.69,0,0,2.06,336,33.4,0,12.86,17,12.63,10.79,0,1651,50.01,1,3000,615.61,0,3.155,0.17,0,0,238.43,238.7,239.63,2.307,2.305,2.305,1697,0,Ok,NonePrio,None,None,49.58,13,12.65,11.88,0,3585,50.01,1,3000,571.8,0,6.883,0.176,0,0,238.22,238.47,239.38,5.018,5.005,5.012,3675,0,Ok,NonePrio,None,None,15.14,19,14.74,13.55,0,3636,50.01,0,3000,575.31,0,6.963,0.173,0,0,238.45,238.66,239.52,5.081,5.062,5.093,3742,0,Ok,NonePrio,None,None
20.09.2016 16:00,77.58,49,40.28,36.47,0,27,50.01,0,3000,655.57,0,0.178,0.177,0,0,238.03,238.33,239.25,0.081,0.096,0.115,344,0,Ok,NonePrio,None,None,6.47,0,0,2.06,309,34.6,0,12.86,17,12.72,10.88,0,7,50.01,1,3000,655.37,0,0.173,0.174,0,0,238.12,238.44,239.4,0.087,0.104,0.12,112,0,Ok,NonePrio,None,None,49.58,13,12.74,11.96,0,8,50.01,1,3000,653.13,0,0.18,0.182,0,0,237.89,238.17,239.11,0.084,0.103,0.12,116,0,Ok,NonePrio,None,None,15.14,19,14.82,13.63,0,12,50.01,0,3000,658.21,0,0.183,0.179,0,0,238.1,238.38,239.25,0.074,0.083,0.107,116,0,Ok,NonePrio,None,None
20.09.2016 16:05,77.58,49,40.53,36.72,0,28,50,1,3000,653.07,0,0.177,0.168,0,0,238.35,238.63,239.59,0.086,0.096,0.115,340,0,Ok,NonePrio,None,None,5.89,0,0,2.06,236,34.8,0,12.86,17,12.8,10.96,0,7,50,1,3000,653.48,0,0.173,0.165,0,0,238.44,238.74,239.74,0.091,0.102,0.119,112,0,Ok,NonePrio,None,None,49.59,13,12.82,12.04,0,9,50,1,3000,651.07,0,0.178,0.173,0,0,238.2,238.48,239.45,0.089,0.101,0.119,114,0,Ok,NonePrio,None,None,15.14,19,14.9,13.71,0,12,50,1,3000,654.68,0,0.18,0.166,0,0,238.42,238.69,239.6,0.08,0.085,0.108,114,0,Ok,NonePrio,None,None
20.09.2016 16:10,77.58,49,40.78,36.97,0,30,50.01,2,3000,649.59,0,0.172,0.168,0,0,238.12,238.44,239.36,0.083,0.095,0.106,332,0,Ok,NonePrio,None,None,5.72,0,0,2.06,215,34.6,0,12.86,17,12.88,11.04,0,8,50.01,2,3000,649.57,0,0.17,0.163,0,0,238.21,238.55,239.51,0.088,0.101,0.111,109,0,Ok,NonePrio,None,None,49.59,13,12.9,12.13,0,10,50.01,2,3000,647.55,0,0.176,0.166,0,0,237.97,238.29,239.22,0.086,0.1,0.11,113,0,Ok,NonePrio,None,None,15.14,19,14.99,13.8,0,12,50.01,2,3000,651.65,0,0.171,0.163,0,0,238.18,238.49,239.37,0.076,0.084,0.097,110,0,Ok,NonePrio,None,None
20.09.2016 16:15,77.59,49,41.03,37.22,0,33,50,1,3000,645.13,0,0.171,0.165,0,0,238.01,238.3,239.28,0.091,0.106,0.114,326,0,Ok,NonePrio,None,None,5.52,0,0,2.06,190,34.3,0,12.86,17,12.97,11.13,0,10,50,2,3000,645.1,0,0.17,0.166,0,0,238.1,238.41,239.43,0.096,0.112,0.12,108,0,Ok,NonePrio,None,None,49.59,13,12.99,12.21,0,11,50,1,3000,642.7,0,0.174,0.173,0,0,237.86,238.14,239.13,0.095,0.112,0.119,110,0,Ok,NonePrio,None,None,15.14,19,15.07,13.88,0,12,50,1,3000,647.61,0,0.169,0.163,0,0,238.07,238.35,239.28,0.083,0.095,0.104,108,0,Ok,NonePrio,None,None
20.09.2016 16:20,77.59,49,41.28,37.47,0,32,50,1,3000,643.73,0,0.169,0.174,0,0,238.39,238.72,239.57,0.099,0.11,0.12,322,0,Ok,NonePrio,None,None,5.57,0,0,2.06,196,34.5,0,12.86,17,13.05,11.21,0,10,50.01,2,3000,643.39,0,0.168,0.173,0,0,238.49,238.84,239.73,0.104,0.116,0.126,106,0,Ok,NonePrio,None,None,49.59,13,13.07,12.29,0,10,50,1,3000,641.53,0,0.174,0.173,0,0,238.25,238.57,239.43,0.103,0.116,0.125,110,0,Ok,NonePrio,None,None,15.14,19,15.15,13.96,0,12,50.01,1,3000,646.28,0,0.167,0.173,0,0,238.45,238.77,239.57,0.09,0.099,0.111,106,0,Ok,NonePrio,None,None
20.09.2016 16:25,77.59,49,41.53,37.72,0,31,50.01,1,3000,643.41,0,0.169,0.176,0,0,238.54,238.82,239.78,0.1,0.11,0.121,322,0,Ok,NonePrio,None,None,5.67,0,0,2.06,209,34,0,12.86,17,13.14,11.29,0,9,50.01,1,3000,643.05,0,0.167,0.168,0,0,238.63,238.93,239.92,0.105,0.115,0.126,106,0,Ok,NonePrio,None,None,49.59,13,13.16,12.38,0,10,50.01,1,3000,641.34,0,0.174,0.182,0,0,238.39,238.67,239.63,0.104,0.115,0.125,110,0,Ok,NonePrio,None,None,15.15,19,15.24,14.05,0,12,50.01,1,3000,645.84,0,0.166,0.171,0,0,238.61,238.88,239.79,0.092,0.1,0.112,106,0,Ok,NonePrio,None,None
20.09.2016 16:30,77.75,49,41.78,37.97,0,26,50.01,8,3000,653.17,0,0.177,6.626,0,0,238.42,238.69,239.68,0.086,0.093,0.109,340,0,Ok,NonePrio,None,None,5.9,0,0,2.06,238,34.2,0,12.91,17,13.22,11.38,0,7,50.01,8,3000,651.99,0,0.174,6.618,0,0,238.52,238.8,239.83,0.093,0.099,0.114,112,0,Ok,NonePrio,None,None,49.64,13,13.24,12.46,0,7,50.01,8,3000,651.68,0,0.181,7.529,0,0,238.28,238.54,239.54,0.088,0.097,0.113,116,0,Ok,NonePrio,None,None,15.2,19,15.32,14.13,0,12,50.01,9,3000,655.86,0,0.176,7.695,0,0,238.48,238.74,239.68,0.077,0.083,0.1,112,0,Ok,NonePrio,None,None
20.09.2016 16:35,78.59,49,42.03,38.22,0,2718,50.01,0,3000,637.53,0,1.837,0.182,0,0,238.24,238.51,239.48,1.313,1.317,1.336,3050,0,Ok,NonePrio,None,None,6.23,0,0,2.06,278,33.9,0,13.16,17,13.3,11.46,0,825,50.01,0,3000,636.52,0,1.68,0.176,0,0,238.33,238.62,239.63,1.209,1.214,1.229,933,0,Ok,NonePrio,None,None,49.93,13,13.32,12.54,0,931,50.01,0,3000,635.81,0,1.898,0.185,0,0,238.09,238.36,239.34,1.352,1.358,1.376,1045,0,Ok,NonePrio,None,None,15.5,19,15.4,14.22,0,962,50.01,0,3000,640.27,0,1.935,0.182,0,0,238.32,238.56,239.49,1.38,1.38,1.405,1072,0,Ok,NonePrio,None,None
20.09.2016 16:40,78.59,49,42.28,38.47,0,9244,50.01,3,3000,567.72,0,5.823,0.165,0,0,238.86,239.14,240.15,4.306,4.3,4.304,9537,0,Ok,NonePrio,None,None,5.05,0,0,2.06,132,33.7,0,13.16,17,13.39,11.54,0,2808,50.01,3,3000,568.68,0,5.286,0.159,0,0,238.95,239.25,240.3,3.927,3.926,3.918,2896,0,Ok,NonePrio,None,None,49.93,13,13.41,12.63,0,3151,50.01,3,3000,564.57,0,5.984,0.166,0,0,238.7,238.99,240,4.408,4.404,4.401,3246,0,Ok,NonePrio,None,None,15.5,19,15.49,14.3,0,3285,50.01,3,3000,569.91,0,6.2,0.157,0,0,238.94,239.19,240.16,4.585,4.57,4.593,3395,0,Ok,NonePrio,None,None
20.09.2016 16:45,79.12,49,42.53,38.72,0,27,50.01,8,3000,655.36,0,0.177,7.506,0,0,238.81,239.13,240.17,0.086,0.093,0.115,343,0,Ok,NonePrio,None,None,6.41,0,0,2.06,302,33.8,0,13.32,17,13.47,11.63,0,7,50.02,8,3000,653.81,0,0.175,7.318,0,0,238.9,239.24,240.32,0.092,0.098,0.12,112,0,Ok,NonePrio,None,None,50.11,13,13.49,12.71,0,8,50.01,8,3000,653.52,0,0.183,9.242,0,0,238.66,238.98,240.02,0.089,0.098,0.121,118,0,Ok,NonePrio,None,None,15.69,19,15.57,14.38,0,12,50.02,9,3000,658.76,0,0.174,9.627,0,0,238.88,239.19,240.18,0.077,0.084,0.106,113,0,Ok,NonePrio,None,None
20.09.2016 16:50,79.78,49,42.78,38.97,0,7332,50.01,8,3000,551.05,0,4.641,3.578,0,0,239.51,240.14,240.88,3.408,3.408,3.405,7529,0,Ok,NonePrio,None,None,4.96,0,0,2.06,120,33.4,0,13.52,17,13.55,11.71,0,2150,50.01,8,3000,552.74,0,4.067,3.543,0,0,239.6,240.24,241.03,3.001,3.005,2.992,2207,0,Ok,NonePrio,None,None,50.34,13,13.57,12.79,0,2521,50.01,8,3000,547.53,0,4.814,3.735,0,0,239.36,239.98,240.73,3.518,3.522,3.512,2584,0,Ok,NonePrio,None,None,15.92,19,15.65,14.47,0,2661,50.01,9,3000,552.89,0,5.043,3.745,0,0,239.59,240.2,240.9,3.706,3.698,3.712,2738,0,Ok,NonePrio,None,None
20.09.2016 16:55,80.19,49,43.03,39.22,0,7316,50.01,4,3000,535.78,0,4.632,0.163,0,0,239.57,240.39,240.99,3.387,3.389,3.381,7463,0,Ok,NonePrio,None,None,4.79,0,0,2.06,99,33,0,13.65,17,13.64,11.79,0,2280,50.01,4,3000,537.38,0,4.315,0.159,0,0,239.66,240.5,241.14,3.167,3.172,3.154,2323,0,Ok,NonePrio,None,None,50.47,13,13.66,12.88,0,2488,50.01,4,3000,532.81,0,4.742,0.166,0,0,239.42,240.24,240.84,3.457,3.464,3.448,2533,0,Ok,NonePrio,None,None,16.06,19,15.74,14.55,0,2548,50.02,4,3000,537.17,0,4.84,0.157,0,0,239.64,240.45,241,3.538,3.531,3.542,2607,0,Ok,NonePrio,None,None
20.09.2016 17:00,80.19,49,43.28,39.47,0,4450,50.01,5,3000,543.54,0,2.877,0.159,0,0,239.17,239.92,240.62,2.08,2.083,2.083,4549,0,Ok,NonePrio,None,None,4.58,0,0,2.06,72,32.8,0,13.65,17,13.72,11.88,0,1433,50.02,5,3000,544.41,0,2.77,0.153,0,0,239.26,240.03,240.77,2.011,2.015,2.008,1463,0,Ok,NonePrio,None,None,50.47,13,13.74,12.96,0,1500,50.01,5,3000,541.09,0,2.919,0.16,0,0,239.02,239.77,240.47,2.105,2.113,2.107,1531,0,Ok,NonePrio,None,None,16.06,19,15.82,14.63,0,1517,50.02,5,3000,545.12,0,2.942,0.151,0,0,239.25,239.98,240.63,2.124,2.121,2.135,1555,0,Ok,NonePrio,None,None
20.09.2016 17:05,80.19,49,43.53,39.72,0,36,50.03,5,3000,626.39,0,0.159,0.153,0,0,239.18,239.93,240.7,0.121,0.127,0.143,295,0,Ok,NonePrio,None,None,4.58,0,0,2.06,73,32.8,0,13.65,17,13.8,11.96,0,12,50.03,5,3000,626.11,0,0.158,0.15,0,0,239.27,240.04,240.85,0.125,0.131,0.148,97,0,Ok,NonePrio,None,None,50.47,13,13.82,13.04,0,12,50.03,5,3000,624.28,0,0.164,0.16,0,0,239.03,239.77,240.55,0.125,0.131,0.146,101,0,Ok,NonePrio,None,None,16.06,19,15.9,14.72,0,12,50.03,5,3000,628.78,0,0.156,0.15,0,0,239.24,239.99,240.71,0.115,0.121,0.135,97,0,Ok,NonePrio,None,None
20.09.2016 17:10,80.19,49,43.78,39.97,0,36,50.02,4,3000,620.11,0,0.155,0.156,0,0,239.22,239.99,240.82,0.121,0.127,0.142,285,0,Ok,NonePrio,None,None,4.63,0,0,2.06,79,32.5,0,13.65,17,13.89,12.04,0,12,50.02,4,3000,619.8,0,0.154,0.157,0,0,239.32,240.1,240.98,0.126,0.132,0.147,94,0,Ok,NonePrio,None,None,50.48,13,13.91,13.13,0,12,50.02,4,3000,617.92,0,0.16,0.159,0,0,239.07,239.83,240.67,0.125,0.13,0.146,97,0,Ok,NonePrio,None,None,16.07,19,15.99,14.8,0,12,50.03,5,3000,622.61,0,0.153,0.153,0,0,239.28,240.04,240.83,0.114,0.12,0.134,94,0,Ok,NonePrio,None,None
20.09.2016 17:15,80.2,49,44.02,40.21,0,24,50.02,5,3000,623.92,0,0.159,0,0,0,238.71,239.45,240.34,0.113,0.122,0.137,195,0,Ok,NonePrio,None,None,4.52,0,0,2.06,66,32.4,0,13.65,17,13.96,12.11,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None,50.48,13,13.99,13.21,0,12,50.02,5,3000,621.54,0,0.163,0.168,0,0,238.61,239.35,240.26,0.119,0.127,0.143,99,0,Ok,NonePrio,None,None,16.07,19,16.07,14.88,0,12,50.02,6,3000,626.3,0,0.155,0.154,0,0,238.82,239.56,240.42,0.107,0.117,0.132,96,0,Ok,NonePrio,None,None
20.09.2016 17:20,80.2,49,44.19,40.37,0,24,50.01,6,3000,624.5,0,0.159,0,0,0,238.96,239.71,240.66,0.112,0.118,0.136,195,0,Ok,NonePrio,None,None,4.46,0,0,2.06,58,32.1,0,13.65,17,13.96,12.11,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None,50.48,13,14.07,13.29,0,12,50.01,6,3000,622.23,0,0.163,0.159,0,0,238.86,239.61,240.59,0.118,0.123,0.143,99,0,Ok,NonePrio,None,None,16.07,19,16.16,14.97,0,12,50.01,6,3000,626.78,0,0.155,0.15,0,0,239.07,239.82,240.74,0.106,0.113,0.13,96,0,Ok,NonePrio,None,None
20.09.2016 17:25,80.2,49,44.32,40.51,0,12,50,6,3000,615.56,0,0.159,0,0,0,238.5,239.27,240.21,0.116,0.125,0.145,96,0,Ok,NonePrio,None,None,4.47,0,0,2.06,59,31.7,0,13.65,17,13.96,12.11,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None,50.48,13,14.16,13.38,0,12,50,6,3000,615.56,0,0.159,0.165,0,0,238.5,239.27,240.21,0.116,0.125,0.145,96,0,Ok,NonePrio,None,None,16.07,19,16.21,15.02,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None
20.09.2016 17:30,86.2,49,44.41,40.59,0,12,50,8,3000,614.96,0,0.161,0,0,0,238.26,239.09,239.98,0.116,0.126,0.147,97,0,Ok,NonePrio,None,None,4.51,0,0,2.06,64,30.4,0,13.65,17,13.96,12.11,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None,50.48,13,14.24,13.46,0,12,50,8,3000,614.96,0,0.161,0.001,0,0,238.26,239.09,239.98,0.116,0.126,0.147,97,0,Ok,NonePrio,None,None,16.07,19,16.21,15.02,0,,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.001,-0.001,-0.001,,,Ok,NonePrio,None,None
